,_month_,year,oil_companies_,quantity_000_metric_tonnes_
966,March,2023,HPCL-TOTAL,2858.24
967,March,2023,RIL TOTAL,5359.75
968,April,2021,"IOCL-MATHURA, UTTAR PRADESH",819.00
969,April,2021,"BPCL-MUMBAI, MAHARASHTRA",1225.00
970,April,2021,"HPCL-VISAKH,ANDHRA PRADESH",826.00
971,April,2021,RIL TOTAL,5021.00
972,May,2021,"IOCL-BARAUNI,BIHAR",533.00
973,May,2021,CPCL-TOTAL,629.00
974,May,2021,HPCL-TOTAL,1958.00
975,May,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2678.00
976,May,2021,RIL TOTAL,5515.00
977,May,2021,GRAND TOTAL,18970.00
978,June,2021,"IOCL-GUWAHATI,ASSAM",
979,June,2021,"IOCL-DIGBOI,ASSAM",59.00
980,June,2021,BPCL-TOTAL,2471.00
981,June,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",6.00
982,June,2021,ONGC TOTAL,1015.00
983,June,2021,"RIL,JAMNAGAR,GUJARAT",2690.00
984,July,2021,"IOCL-HALDIA, WEST BENGAL",644.00
985,July,2021,"IOCL-MATHURA, UTTAR PRADESH",665.00
986,July,2021,"IOCL-PARADIP,ODISHA",1059.00
987,July,2021,"BPCL-MUMBAI, MAHARASHTRA",1253.00
988,July,2021,"BPCL-KOCHI, KERALA",1087.00
989,July,2021,"MRPL-MANGALORE,KARNATAKA",1105.00
990,August,2021,"IOCL-KOYALI, GUJARAT",1090.00
991,August,2021,"IOCL-HALDIA, WEST BENGAL",709.00
992,August,2021,"BPCL-KOCHI, KERALA",1087.00
993,August,2021,BORL-BINA,598.00
994,August,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
995,August,2021,"RIL,JAMNAGAR,GUJARAT",2873.00
996,August,2021,RIL TOTAL,5110.00
997,September,2021,"CPCL-MANALI, TAMILNADU",497.00
998,September,2021,"BPCL-MUMBAI, MAHARASHTRA",957.00
999,September,2021,BORL-BINA,579.00
1000,September,2021,"NRL-NUMALIGARH, ASSAM",238.00
1001,September,2021,"HPCL-MUMBAI,MAHARASHTRA",411.00
1002,September,2021,HPCL-TOTAL,2037.00
1003,September,2021,RIL TOTAL,5203.00
1004,October,2021,"IOCL-BARAUNI,BIHAR",427.00
1005,October,2021,"IOCL-KOYALI, GUJARAT",939.00
1006,October,2021,"IOCL-DIGBOI,ASSAM",61.00
1007,October,2021,BORL-BINA,658.00
1008,October,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",6.00
1009,October,2021,"MRPL-MANGALORE,KARNATAKA",1463.00
1010,October,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1113.00
1011,October,2021,HPCL-TOTAL,2501.00
1012,October,2021,"RIL,JAMNAGAR,GUJARAT",3110.00
1013,November,2021,"IOCL-PANIPAT, HARYANA",1340.00
1014,November,2021,"IOCL-DIGBOI,ASSAM",61.00
1015,November,2021,CPCL-TOTAL,816.00
1016,November,2021,"HPCL-MUMBAI,MAHARASHTRA",545.00
1017,November,2021,GRAND TOTAL,21483.00
1018,December,2021,"IOCL-MATHURA, UTTAR PRADESH",766.00
1019,December,2021,BPCL-TOTAL,3321.00
1020,December,2021,ONGC TOTAL,1441.00
1021,December,2021,"HPCL-VISAKH,ANDHRA PRADESH",809.00
1022,December,2021,RIL TOTAL,5529.00
1023,January,2022,"IOCL-KOYALI, GUJARAT",1273.00
1024,January,2022,"IOCL-HALDIA, WEST BENGAL",301.00
1025,January,2022,"CPCL-MANALI, TAMILNADU",915.00
1026,January,2022,"BPCL-KOCHI, KERALA",1450.00
1027,January,2022,"HPCL-MUMBAI,MAHARASHTRA",852.00
1028,January,2022,"RIL,JAMNAGAR,GUJARAT",3042.00
1029,February,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.00
1030,February,2022,"MRPL-MANGALORE,KARNATAKA",1392.00
1031,February,2022,ONGC TOTAL,1399.00
1032,February,2022,HPCL-TOTAL,2519.00
1033,March,2022,"IOCL-MATHURA, UTTAR PRADESH",884.00
1034,March,2022,"IOCL-GUWAHATI,ASSAM",93.00
1035,March,2022,IOCL TOTAL,6636.00
1036,March,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.00
1037,March,2022,"HPCL-VISAKH,ANDHRA PRADESH",825.00
1038,March,2022,HPCL-TOTAL,2628.00
1039,April,2020,"IOCL-HALDIA, WEST BENGAL",305.00
1040,April,2020,"NRL-NUMALIGARH, ASSAM",170.00
1041,April,2020,ONGC TOTAL,673.00
1042,May,2020,"IOCL-KOYALI, GUJARAT",769.00
1043,May,2020,"IOCL-MATHURA, UTTAR PRADESH",730.00
1044,May,2020,"IOCL-BONGAIGAON,ASSAM",196.00
1045,May,2020,"CPCL-MANALI, TAMILNADU",441.00
1046,June,2020,"IOCL-KOYALI, GUJARAT",1041.00
1047,June,2020,"IOCL-DIGBOI,ASSAM",61.00
1048,June,2020,"IOCL-BONGAIGAON,ASSAM",193.00
1049,June,2020,"IOCL-PARADIP,ODISHA",1227.00
1050,June,2020,"BPCL-KOCHI, KERALA",931.00
1051,June,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
1052,July,2020,"IOCL-HALDIA, WEST BENGAL",580.00
1053,July,2020,"IOCL-BONGAIGAON,ASSAM",222.00
1054,July,2020,IOCL TOTAL,5363.00
1055,July,2020,"BPCL-MUMBAI, MAHARASHTRA",1097.00
1056,July,2020,"NRL-NUMALIGARH, ASSAM",219.00
1057,August,2020,"IOCL-PANIPAT, HARYANA",977.00
1058,August,2020,"IOCL-BONGAIGAON,ASSAM",206.00
1059,August,2020,"IOCL-PARADIP,ODISHA",266.00
1060,August,2020,CPCL-TOTAL,562.00
1061,August,2020,"NRL-NUMALIGARH, ASSAM",226.00
1062,August,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
1063,August,2020,ONGC TOTAL,913.00
1064,September,2020,IOCL TOTAL,4657.00
1065,September,2020,"BPCL-KOCHI, KERALA",980.00
1066,September,2020,BPCL-TOTAL,2577.00
1067,September,2020,"HPCL-MUMBAI,MAHARASHTRA",670.00
1068,October,2020,"IOCL-BONGAIGAON,ASSAM",222.00
1069,October,2020,BORL-BINA,561.00
1070,October,2020,HPCL-TOTAL,2327.00
1071,October,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2441.00
1072,October,2020,RIL TOTAL,5464.00
1073,November,2020,"IOCL-BONGAIGAON,ASSAM",206.00
1074,November,2020,"IOCL-PARADIP,ODISHA",1325.00
1075,November,2020,"NRL-NUMALIGARH, ASSAM",230.00
1076,November,2020,RIL TOTAL,5482.00
1077,December,2020,"IOCL-HALDIA, WEST BENGAL",709.00
1078,December,2020,"IOCL-PANIPAT, HARYANA",1359.00
1079,December,2020,"BPCL-KOCHI, KERALA",1329.00
1080,December,2020,HPCL-TOTAL,2311.00
1081,December,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2691.00
1082,January,2021,"IOCL-KOYALI, GUJARAT",1187.00
1083,January,2021,"MRPL-MANGALORE,KARNATAKA",1420.00
1084,January,2021,"HMEL-GGSR, BATHINDA, PUNJAB",801.00
1085,January,2021,HPCL-TOTAL,2240.00
1086,January,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2648.00
1087,January,2021,RIL TOTAL,5564.00
1088,February,2021,"IOCL-BARAUNI,BIHAR",518.00
1089,February,2021,"IOCL-HALDIA, WEST BENGAL",657.00
1090,February,2021,"IOCL-MATHURA, UTTAR PRADESH",790.00
1091,February,2021,"IOCL-GUWAHATI,ASSAM",80.00
1092,February,2021,IOCL TOTAL,5387.00
1093,February,2021,BPCL-TOTAL,3503.00
1094,February,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
1095,February,2021,"HPCL-MUMBAI,MAHARASHTRA",642.00
1096,February,2021,"RIL,JAMNAGAR,GUJARAT",2664.00
1097,February,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2212.00
1098,February,2021,"NEL-VADINAR,GUJARAT",1397.00
1099,March,2021,"IOCL-HALDIA, WEST BENGAL",665.00
1100,March,2021,"CPCL-MANALI, TAMILNADU",964.00
1101,March,2021,BORL-BINA,602.00
1102,March,2021,"NRL-NUMALIGARH, ASSAM",241.00
1103,March,2021,BPCL-TOTAL,3603.00
